Date,GHI,PR
7/1/2019,3.256608333,69.57567588
7/2/2019,3.976766667,79.31441128
7/3/2019,2.811866667,61.02000579
7/4/2019,3.658408333,83.26257616
7/5/2019,5.590683333,82.12444039
7/6/2019,5.179733333,82.76417228
7/7/2019,4.120733333,69.92450703
7/8/2019,5.707991667,84.78915116
7/9/2019,6.469825,79.15239303
7/10/2019,5.811891667,69.0858989
7/11/2019,6.261125,70.93888623
7/12/2019,6.404208333,72.4561298
7/13/2019,5.996333333,82.22091259
7/14/2019,6.084766667,71.86190426
7/15/2019,5.092958333,71.17281927
7/16/2019,3.32445,74.83322027
7/17/2019,1.661191667,81.27245261
7/18/2019,3.641041667,62.76812143
7/19/2019,4.51005,60.52690499
7/20/2019,4.622266667,76.94910025
7/21/2019,4.940125,65.36504375
7/22/2019,5.558991667,60.24257169
7/23/2019,5.547308333,79.32111993
7/24/2019,6.427508333,75.44610622
7/25/2019,3.8688,76.36421888
7/26/2019,6.74835,70.66236611
7/27/2019,4.966391667,61.16419358
7/28/2019,3.974058333,68.92173916
7/29/2019,4.118708333,76.29448028
7/30/2019,5.475133333,78.96251489
7/31/2019,5.032158333,83.30060519
8/1/2019,4.860941667,63.13507679
8/2/2019,3.657125,79.00013668
8/3/2019,3.925425,67.11638614
8/4/2019,4.879466667,78.09573286
8/5/2019,4.471466667,82.72169284
8/6/2019,2.410733333,81.31577325
8/7/2019,2.326983333,77.85296729
8/8/2019,3.530166667,72.92912895
8/9/2019,3.053108333,76.33996613
8/10/2019,3.532608333,76.52966533
8/11/2019,4.233616667,74.37988669
8/12/2019,4.935833333,60.66216854
8/13/2019,6.107708333,81.58867858
8/14/2019,5.945841667,65.42674584
8/15/2019,5.121266667,67.91924654
8/16/2019,5.110308333,65.22271942
8/17/2019,4.57005,81.27025628
8/18/2019,5.784266667,62.1202638
8/19/2019,6.238091667,73.38961958
8/20/2019,4.469258333,79.89516234
8/21/2019,4.319041667,79.63740059
8/22/2019,4.894641667,63.4100524
8/23/2019,6.059475,61.57263172
8/24/2019,5.11375,67.21930321
8/25/2019,5.133858333,63.19590068
8/26/2019,4.25785,66.3089646
8/27/2019,6.652741667,60.72209595
8/28/2019,5.018358333,63.08059253
8/29/2019,2.875591667,71.60160175
8/30/2019,3.195216667,63.56445765
8/31/2019,6.1398,77.71123097
9/1/2019,4.582075,62.14144711
9/2/2019,2.78235,68.21678227
9/3/2019,2.914716667,66.44978731
9/4/2019,2.924125,73.52279742
9/5/2019,4.055225,65.59199065
9/6/2019,5.574541667,66.40701216
9/7/2019,2.775916667,71.92436714
9/8/2019,4.570908333,84.64357472
9/9/2019,4.864208333,75.98908476
9/10/2019,5.792425,72.42388865
9/11/2019,5.639958333,84.22859566
9/12/2019,6.476283333,81.54786406
9/13/2019,2.53245,80.21786497
9/14/2019,2.974508333,63.96117672
9/15/2019,2.552158333,69.29612483
9/16/2019,1.98435,63.65162517
9/17/2019,2.967916667,61.67436516
9/18/2019,1.494691667,71.47531581
9/19/2019,4.91405,72.71470361
9/20/2019,3.92075,76.01707319
9/21/2019,4.271341667,82.28355411
9/22/2019,3.994125,72.49029611
9/23/2019,4.478916667,76.80468408
9/24/2019,5.927058333,65.94358811
9/25/2019,5.151191667,77.5996692
9/26/2019,4.275775,78.68319327
9/27/2019,5.9795,80.31828879
9/28/2019,5.166,82.97936701
9/29/2019,5.962158333,76.0790729
9/30/2019,4.655391667,84.59746407
10/1/2019,6.280383333,79.92690389
10/2/2019,3.846975,79.62610528
10/3/2019,5.304516667,65.92235187
10/4/2019,5.0467,66.65418229
10/5/2019,5.760425,76.60160639
10/6/2019,4.48295,76.5588171
10/7/2019,5.44895,83.77956872
10/8/2019,5.028433333,83.61471439
10/9/2019,4.364933333,75.66140406
10/10/2019,4.664875,80.04870457
10/11/2019,4.926133333,70.29808375
10/12/2019,4.569933333,81.90221019
10/13/2019,4.226025,73.25820899
10/14/2019,6.398408333,66.72883504
10/15/2019,5.518016667,76.57787357
10/16/2019,5.176558333,77.0655894
10/17/2019,6.094358333,81.46022721
10/18/2019,4.18685,73.77075529
10/19/2019,4.9675,72.74535741
10/20/2019,5.845408333,66.34754947
10/21/2019,4.296116667,66.41490897
10/22/2019,4.150366667,63.29654995
10/23/2019,4.634425,69.10798905
10/24/2019,4.577158333,61.90249418
10/25/2019,4.926375,64.60979865
10/26/2019,5.485858333,63.8697312
10/27/2019,5.982341667,71.29737388
10/28/2019,5.172216667,67.22986725
10/29/2019,6.041108333,70.37343202
10/30/2019,5.4497,68.12164532
10/31/2019,2.721441667,77.64830877
11/1/2019,4.808541667,77.83458247
11/2/2019,4.273133333,64.80290631
11/3/2019,3.964708333,74.45366818
11/4/2019,4.952183333,83.34200991
11/5/2019,4.840366667,75.8734639
11/6/2019,3.10135,66.2641216
11/7/2019,3.981483333,71.0687666
11/8/2019,4.995958333,64.52656177
11/9/2019,4.715275,70.12474905
11/10/2019,2.07705,69.36295341
11/11/2019,1.413825,64.81060316
11/12/2019,5.475458333,77.92843953
11/13/2019,5.075183333,69.52200661
11/14/2019,4.823908333,84.96615776
